,0,1,2
567,83858,-26.85,-52.4
568,83859,-22.72,-47.55
569,83860,-26.47999999,-51.97999999
570,83862,-26.73,-53.58
571,83864,-26.23,-51.07
572,83865,-26.25,-50.8
573,83867,-26.1,-49.8
574,83869,-26.13,-49.25
575,83870,-26.82,-49.27
576,83871,-26.92,-49.05
577,83872,-26.91361111,-49.26805554
578,83873,-27.05,-50.93
579,83874,-26.25,-48.65
580,83875,-26.47,-49.08
581,83876,-27.87,-54.43
582,83877,-27.2,-49.67
583,83878,-27.78,-54.23
584,83879,-27.45,-53.93
585,83880,-27.88,-53.43
586,83881,-27.189451,-53.253338
587,83882,-27.18,-52.05
588,83883,-27.13555555,-52.66305555
589,83885,-27.45,-51.9
590,83886,-27.17,-51.45
591,83887,-27.38388888,-51.21611111
592,83890,-27.25,-50.58
593,83891,-27.802108,-50.335567
594,83892,-27.85,-55.02
595,83893,-27.87999999,-50.7
596,83896,-27.1,-48.93
597,83897,-27.6025,-48.62027777
598,83898,-27,-48.63
599,83901,-28.65,-56
600,83904,-27.169273,-51.558963
601,83907,-28.41722221,-54.9625
602,83909,-28.3,-54.25
603,83910,-28.28,-53.48
604,83912,-28.6261111,-53.61388888
605,83914,-28.2286111,-52.41194444
606,83915,-28.92,-51.9
607,83916,-28.22249999,-51.51277777
608,83917,-28.82,-51.28
609,83918,-28.55,-50.7
610,83919,-28.66944443,-50.44194444
611,83920,-28.275639,-49.93464
612,83921,-28.88,-49.52
613,83922,-28.33,-49.33
614,83923,-28.532537,-49.31521
615,83924,-28.48,-48.8
616,83927,-29.83999999,-57.08194443
617,83929,-29.12,-56.53
618,83931,-29.68,-55.52
619,83932,-28.653476,-53.111882
620,83933,-29.18,-54.88
621,83935,-29.23,-53.68
622,83936,-29.72472221,-53.72055554
623,83938,-28.83,-52.52
624,83939,-29.72,-52.42
625,83940,-29.8,-51.82
626,83941,-29.164588,-51.534104
627,83942,-29.1961111,-51.18638888
628,83943,-29.75,-50.75
629,83944,-29.37,-50.8
630,83945,-29.33,-50.52
631,83946,-29.04916666,-50.14972221
